feature,importance
poly_risk,0.28573924
diabetes,0.09021177
hypertension,0.061948054
age_risk,0.056062743
dest_Home,0.053926867
length_of_stay,0.050076257
gender_Female,0.048088353
medication_count,0.047299612
bmi_category,0.039157223
dest_Nursing_Facility,0.03831956
gender_Other,0.035460267
gender_Male,0.03253813
age,0.019097218
complex_patient,0.017978195
dest_Rehab,0.016818369
med_stay_ratio,0.015730886
bp_sys,0.014028906
bmi,0.012074394
age_bmi,0.011256561
bp_dia,0.01122232
bp_pulse_pressure,0.011064081
bp_mean_arterial,0.010902758
cholesterol_ratio,0.010639849
cholesterol,0.010358364
